建築名稱,英文名稱,高度(m),樓層,東西寬(m),南北長(m),投影面積(m²),估算總樓地板面積(m²),結構類型,OSM建築類型,NLSC高度,NLSC建物ID,OSM ID
,,11.69,,19.7,13.1,241.6,,磚造,house,11.69,2C8QX72KR2,257198634
,,11.69,,17.9,20.9,159.1,,金屬/混合,yes,11.69,2CABS72N3E,1120544146
,,11.67,,23.8,24.1,243.5,,鋼筋混凝土(RC),yes,11.67,2C9VE72LKT,1120544140
游泳館,Swimming Plaza,11.63,2,82.3,25.9,1811.8,3624.0,鋼筋混凝土(RC),university,11.63,2C53F72JU1,257646391
康樂中心,,11.52,,36.0,35.3,564.8,,鋼筋混凝土(RC),yes,11.52,2CAC372LG9,1230260818
,,11.51,,29.3,25.5,344.6,,鋼筋混凝土(RC),house,11.51,2C82N72KVW,257198632
,,11.48,,18.1,12.7,192.6,,磚造,house,11.48,2C8T872KQU,257198642
,,11.41,,19.9,15.9,159.0,,鋼筋混凝土(RC),yes,11.41,2C7PR72LT5,906118579
駐衛警察隊,,11.34,,16.0,15.0,141.9,,鋼筋混凝土(RC),yes,11.34,2C17672LV0,452438943
,,11.22,,25.7,24.2,246.3,,鋼筋混凝土(RC),yes,11.22,2CD3T72M2W,531659284
水木生活中心,Shui Mu Student Center,11.17,,93.5,77.4,2712.7,,鋼筋混凝土(RC),university,11.17,2C39V72MNG,158364457
機電一二館,Utility Building,11.02,,99.6,104.6,2934.3,,鋼筋混凝土(RC),industrial,11.02,2C3927296N,295387550
,,10.93,,20.0,12.4,198.9,,磚造,house,10.93,2C8NK72L71,257198647
,,10.8,,28.0,24.2,324.8,,鋼筋混凝土(RC),house,10.80,2C82U72L45,216617620
,,10.78,,46.7,26.0,712.8,,鋼筋混凝土(RC),industrial,10.78,2CDHG729FX,188082607
,,10.76,,27.8,28.5,385.0,,鋼筋混凝土(RC),yes,10.76,2CCLH72G7L,1038718369
實齋交誼廳,Dormitory Shyr Lounge,10.67,,45.3,37.1,971.8,,鋼筋混凝土(RC),dormitory,10.67,2C46G72LVB,180546711
,,10.66,,20.9,21.1,192.3,,鋼筋混凝土(RC),yes,10.66,2C94Q72MPA,1119820869
羽球館,Badminton Building,10.65,1,45.3,18.3,820.4,820.0,鋼筋混凝土(RC),permanent,10.65,2CAP772G2V,134752115
,,10.52,,25.6,23.4,330.3,,鋼筋混凝土(RC),residential,10.52,2C99X72JMU,286652783
